num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
923,573,1185,闽北职业技术学院,4135013764,福建省,南平市,专科,nan,闽北职业技术学院,118.262337,26.585694,47fe23555073e9081ce999ec,延平区
924,574,1186,福州黎明职业技术学院,4135013765,福建省教育厅,福州市,专科,民办,福州黎明职业技术学院,119.186194,25.912993,181653345a32c907fb2d61cc,闽侯县
925,574,1186,福州黎明职业技术学院,4135013765,福建省教育厅,福州市,专科,民办,福州黎明职业技术学院(福屿校区),119.284842,26.084457,b292b3aa88a0492bbe4842e2,鼓楼区
926,574,1186,福州黎明职业技术学院,4135013765,福建省教育厅,福州市,专科,民办,福州黎明职业技术学院产业研究院,119.250778,26.060326,ba21516d2657b2f43786f449,仓山区
927,575,1187,厦门演艺职业学院,4135013767,福建省教育厅,厦门市,专科,民办,厦门演艺职业学院,118.272552,24.588576,8b960c32f7bead3c40e19231,翔安区
928,576,1188,厦门华天涉外职业技术学院,4135013768,福建省教育厅,厦门市,专科,民办,厦门华天涉外职业技术学院,118.256782,24.609822,4cf8d24e24a1cbe49cf7795a,翔安区
929,576,1188,厦门华天涉外职业技术学院,4135013768,福建省教育厅,厦门市,专科,民办,厦门华天涉外职业技术学院-海外学院,118.255471,24.610914,b43bc343487ce7cabadf8f1c,翔安区
930,577,1189,福州科技职业技术学院,4135013769,福建省教育厅,福州市,专科,民办,福州科技职业技术学院,119.253429,26.085497,5211d219a286215a7dc87604,仓山区
931,577,1189,福州科技职业技术学院,4135013769,福建省教育厅,福州市,专科,民办,福州科技职业技术学院,119.193005,26.099341,453aa7a91a69b976d12dd638,闽侯县
932,577,1189,福州科技职业技术学院,4135013769,福建省教育厅,福州市,专科,民办,福州科技职业技术学院,119.192705,26.099019,d6a700dcb114ea2d48cc4aec,闽侯县
933,577,1189,福州科技职业技术学院,4135013769,福建省教育厅,福州市,专科,民办,福州科技职业技术学院,119.192855,26.09918,865c1ebb13bdf47fb320a88b,闽侯县
934,580,1192,湄洲湾职业技术学院,4135013772,福建省,莆田市,专科,nan,湄洲湾职业技术学院,118.861672,25.270463,881a28e7249a0d47f942b27a,仙游县
935,580,1192,湄洲湾职业技术学院,4135013772,福建省,莆田市,专科,nan,湄洲湾职业技术学院(梧塘校区),119.096454,25.503662,7ef85129f87436d716c9056a,涵江区
