num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area
147,41,42,中央美术学院,4111010047,教育部,北京市,本科,公办,中央美术学院,116.470254,39.989397,05ccdb80579f536bf7eafcb2,朝阳区
148,42,43,中央戏剧学院,4111010048,教育部,北京市,本科,公办,中央戏剧学院(东城校区),116.411001,39.942254,ff33e685db28935b2bb97ce7,东城区
149,42,43,中央戏剧学院,4111010048,教育部,北京市,本科,公办,中央戏剧学院(昌平校区),116.382337,40.110602,c2a678928ec7de7300ff2da3,昌平区
150,42,43,中央戏剧学院,4111010048,教育部,北京市,本科,公办,中央戏剧学院-北区,116.411547,39.943049,fa7da3e882cef16242d63ed2,东城区
151,43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,中国戏曲学院,116.339316,39.869496,be1ea5ef7ec403be14948ed5,丰台区
152,43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,中国戏曲学院,116.340882,39.87337,d0a28d5719f7194cd92f28b8,丰台区
153,43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,中国戏曲学院附中大兴教学二区,116.384912,39.782437,005861083d1417a547e2749f,大兴区
154,43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,中国戏曲学院附属中等戏曲学校,116.389236,39.885826,d7fd2ad3fa3d0d540bccdde6,西城区
155,43,44,中国戏曲学院,4111010049,北京市,北京市,本科,公办,中国戏曲学院(临时站),116.340831,39.873367,ab247b84a47463f81f389424,丰台区
156,44,45,北京电影学院,4111010050,北京市,北京市,本科,公办,北京电影学院,116.36231,39.977148,e80aad7984e990c3081cc791,海淀区
157,44,45,北京电影学院,4111010050,北京市,北京市,本科,公办,北京电影学院(怀柔校区),116.702756,40.291574,861c6f9fde89845d3310af05,怀柔区
158,44,45,北京电影学院,4111010050,北京市,北京市,本科,公办,北京电影学院(宏福校区),116.379024,40.118562,195ae8ff1785b59949cc4ab0,昌平区
159,44,45,北京电影学院,4111010050,北京市,北京市,本科,公办,北京电影学院-表演学院,116.362947,39.977391,aba6ab404b1622be9d82ea40,海淀区
160,45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,北京舞蹈学院,116.325777,39.952867,4eb3b5333ae90e6c43024514,海淀区
161,45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,北京舞蹈学院舞蹈考级院(莲花桥校区),116.316034,39.900322,0e1d092a7c2bfceead080ff7,丰台区
162,45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,北京舞蹈学院舞蹈考级院(大望路培训中心),116.488506,39.890423,835a69e42a49469d3913fde6,朝阳区
163,45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,北京舞蹈学院舞蹈考级院(广源校区),116.318363,39.949493,4add8419a3c639d46018091c,海淀区
164,45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,北京舞蹈学院剧院,116.325875,39.953058,2d6fb7143eb63fc9a8f0cd35,海淀区
165,45,46,北京舞蹈学院,4111010051,北京市,北京市,本科,公办,北京舞蹈学院舞蹈考级院(佳亿青年汇店),116.523638,39.927886,ca3929d9b65c4da215a1908f,朝阳区
166,46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,中央民族大学,116.327126,39.956624,63b9fb342cde30694f3a59bf,海淀区
167,46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,中央民族大学(丰台校区),116.119617,39.814231,2296e21457b7ba1bb7265557,丰台区
168,46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,中央民族大学,116.331019,39.954079,1c43ad6b6082af1614948ede,海淀区
169,46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,中央民族大学附属中学(朝阳校区),116.485043,39.932036,6f635780619cc6b6c72ba10b,朝阳区
170,46,47,中央民族大学,4111010052,国家民委,北京市,本科,公办,中央民族大学附属中学,116.322412,39.95697,9f97b1c5198c4906b64f547c,海淀区
171,47,48,中国政法大学,4111010053,教育部,北京市,本科,公办,中国政法大学(海淀校区),116.357865,39.971079,068c79e428f541d524d2bb92,海淀区
172,47,48,中国政法大学,4111010053,教育部,北京市,本科,公办,中国政法大学(昌平校区),116.254443,40.230445,ff2f9f685a2263ee0d0a70a9,昌平区
173,47,48,中国政法大学,4111010053,教育部,北京市,本科,公办,中国政法大学北门(昌平),116.25434,40.230837,58717ed91b906cd6cb213d2c,昌平区
174,47,48,中国政法大学,4111010053,教育部,北京市,本科,公办,中国政法大学(昌平),116.251309,40.226926,89185174ab02ad0db54f54be,昌平区
175,48,49,华北电力大学,4111010054,教育部,北京市,本科,公办,华北电力大学,116.31637,40.095687,a68342ff68e95cedb1077d0c,昌平区
176,48,49,华北电力大学,4111010054,教育部,北京市,本科,公办,华北电力大学-教四楼D区,116.317628,40.094604,e3356df7b39d4c01f942b2fb,昌平区
177,49,50,中华女子学院,4111011149,中华妇女联合会,北京市,本科,公办,中华女子学院,116.441903,40.000844,b411e3618e5bb4dda1d230a8,朝阳区
178,49,50,中华女子学院,4111011149,中华妇女联合会,北京市,本科,公办,中华女子学院(汇佳校区),116.247825,40.201689,18294a40d2cd1eaa61685854,昌平区
