num,uni_num,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,campusName,lng,lat,uid,area,get
934,803,1587,河南应用技术职业学院,4141014307,河南省,郑州市,专科,,河南应用技术职业学院,113.545708,34.778737,79fd6ea21a99ea35d42ce259,中原区,1
935,817,1601,河南医学高等专科学校,4141014466,河南省,郑州市,专科,,河南医学高等专科学校,113.713892,34.620649,c7fb04bdf9d2e315fa0cad70,新郑市,1
937,823,1607,濮阳医学高等专科学校,4141014597,河南省,濮阳市,专科,,濮阳医学高等专科学校,114.998545,35.817475,961df256ff9c330a8e77273b,华龙区,1
939,834,1618,河南对外经济贸易职业学院,4141014712,河南省,开封市,专科,,河南对外经济贸易职业学院,114.239919,34.835146,39c5d4b8d9126940e812e406,龙亭区,1
942,835,1619,濮阳石油化工职业技术学院,4141014713,河南省,濮阳市,专科,,濮阳石油化工职业技术学院,115.110728,35.778358,0a46dc0f788c3f5e30621250,华龙区,1
947,837,1621,兰考三农职业学院,4141014715,河南省,开封市,专科,,兰考三农职业学院,114.804325,34.804693,85f3bf53109b5962a1046451,兰考县,1
948,849,1701,武汉职业技术学院,4142010834,湖北省,武汉市,专科,,武汉职业技术学院,114.422856,30.490329,696ec5b04dc2a578100daa43,洪山区,1
949,849,1701,武汉职业技术学院,4142010834,湖北省,武汉市,专科,,武汉职业技术学院(东区),114.422827,30.490246,ae6053fc13ed3b15f03cba17,洪山区,1
950,852,1704,荆州理工职业学院,4142011074,湖北省,荆州市,专科,,荆州理工职业学院(中校区),112.259248,30.334966,d627de791437139f5e0d02d2,沙市区,1
951,852,1704,荆州理工职业学院,4142011074,湖北省,荆州市,专科,,荆州理工职业学院(东校区),112.300071,30.301515,d5ff0d3541fe18705bf6be3b,沙市区,1
954,855,1707,武汉城市职业学院,4142011796,湖北省,武汉市,专科,,武汉城市职业学院,114.328791,30.482329,bf29b702f57bd3e409b93a18,洪山区,1
