,序号,学校名称,学校标识码,主管部门,所在地,办学层次,备注,countOfCity
615,1272,江西电力职业技术学院,4136012933,江西省,南昌市,专科,,27
616,1273,江西环境工程职业学院,4136012934,江西省,赣州市,专科,,6
617,1274,江西艺术职业学院,4136012936,江西省,南昌市,专科,,27
618,1275,鹰潭职业技术学院,4136012937,江西省,鹰潭市,专科,,2
619,1276,江西信息应用职业技术学院,4136012939,江西省,南昌市,专科,,27
620,1277,江西交通职业技术学院,4136012940,江西省,南昌市,专科,,27
621,1278,江西财经职业学院,4136012941,江西省,九江市,专科,,6
622,1279,江西应用技术职业学院,4136012942,江西省,赣州市,专科,,6
623,1280,江西现代职业技术学院,4136012943,江西省,南昌市,专科,,27
624,1281,江西工业工程职业技术学院,4136012944,江西省,萍乡市,专科,,3
625,1282,江西机电职业技术学院,4136012976,江西省,南昌市,专科,,27
626,1283,江西科技职业学院,4136013419,江西省教育厅,南昌市,专科,民办,27
627,1284,江西外语外贸职业学院,4136013422,江西省,南昌市,专科,,27
628,1285,江西工业贸易职业技术学院,4136013423,江西省,南昌市,专科,,27
629,1286,宜春职业技术学院,4136013424,江西省,宜春市,专科,,4
630,1287,江西应用工程职业学院,4136013425,江西省,萍乡市,专科,,3
631,1288,江西生物科技职业学院,4136013426,江西省,南昌市,专科,,27
632,1289,江西建设职业技术学院,4136013427,江西省,南昌市,专科,,27
633,1290,抚州职业技术学院,4136013428,江西省,抚州市,专科,,3
634,1291,江西中医药高等专科学校,4136013775,江西省,抚州市,专科,,3
635,1292,江西经济管理职业学院,4136013866,江西省,南昌市,专科,,27
636,1293,江西制造职业技术学院,4136013867,江西省,南昌市,专科,,27
637,1294,江西工程职业学院,4136013868,江西省,南昌市,专科,,27
638,1295,江西青年职业学院,4136013869,江西省,南昌市,专科,,27
639,1296,上饶职业技术学院,4136013870,江西省,上饶市,专科,,4
640,1297,江西航空职业技术学院,4136013871,江西省教育厅,南昌市,专科,民办,27
641,1298,江西农业工程职业学院,4136013872,江西省,宜春市,专科,,4
642,1299,赣西科技职业学院,4136013873,江西省教育厅,新余市,专科,民办,3
643,1300,江西卫生职业学院,4136013965,江西省,南昌市,专科,,27
644,1301,江西新能源科技职业学院,4136014166,江西省教育厅,新余市,专科,民办,3
645,1302,江西枫林涉外经贸职业学院,4136014167,江西省教育厅,九江市,专科,民办,6
646,1303,江西泰豪动漫职业学院,4136014168,江西省教育厅,南昌市,专科,民办,27
647,1304,江西冶金职业技术学院,4136014241,江西省,新余市,专科,,3
648,1305,江西管理职业学院,4136014249,江西省,南昌市,专科,,27
649,1306,江西传媒职业学院,4136014250,江西省,南昌市,专科,,27
650,1307,江西工商职业技术学院,4136014321,江西省教育厅,南昌市,专科,民办,27
651,1308,景德镇陶瓷职业技术学院,4136014402,江西省教育厅,景德镇市,专科,民办,2
652,1309,共青科技职业学院,4136014403,江西省教育厅,九江市,专科,民办,6
