FID,num,序号,学校名,学校标,主管部,所在地,办学层,备注,campusName,uid,area,lngN,latN,面积,lngC,latC
1070,825,1210,漳州卫生职业学院,4135014117.000000000000000,福建省,漳州市,专科, ,漳州卫生职业学院,50fb64ff7962e95de9f8531d,芗城区,117.628885009000001,24.530729219800001,31.7497997,117.628817287000004,24.531640195200001
1071,788,1178,厦门海洋职业技术学院,4135012629.000000000000000,福建省,厦门市,专科, ,厦门海洋职业技术学院(翔安校区),968298d8aeb515b9c61e518f,翔安区,118.251378286000005,24.595320220600001,39.7159996,118.250213998999996,24.595177160300000
1072,822,1205,厦门南洋职业学院,4135014111.000000000000000,福建省教育厅,厦门市,专科,民办,厦门南洋职业学院,3ccd35af7705910d13293516,翔安区,118.248215303999999,24.603789431500001,38.2125015,118.248351927000002,24.603760475000001
1073,1023,2467,昆明冶金高等专科学校,4153011557.000000000000000,云南省,昆明市,专科, ,昆明冶金高等专科学校,bebc08b4ab0c84b2e115f928,安宁市,102.439866993999999,24.885446934899999,59.8824997,102.439873278999997,24.885438907299999
1074,793,1184,泉州华光职业学院,4135012927.000000000000000,福建省教育厅,泉州市,专科,民办,泉州华光职业学院(北区),e420b3d044aa5784a8f729f9,惠安县,118.698615590000003,24.967842597600001,35.6698990,118.698530849999997,24.967895635100000
1075,1026,2487,保山中医药高等专科学校,4153014014.000000000000000,云南省,保山市,专科, ,保山中医药高等专科学校,f526e530f40b6c295a3ac88e,隆阳区,99.223294093700005,25.087025439300000,29.5851002,99.223293490200007,25.087028255200000
1076,808,1192,湄洲湾职业技术学院,4135013772.000000000000000,福建省,莆田市,专科, ,湄洲湾职业技术学院(梧塘校区),7ef85129f87436d716c9056a,涵江区,119.084966613999995,25.500606287400000,55.7896004,119.085092756999998,25.502723697200000
1077,848,1279,江西应用技术职业学院,4136012942.000000000000000,江西省,赣州市,专科, ,江西应用技术职业学院(黄金校区),17009d98c353ecee1894c6f1,章贡区,114.888785365999993,25.805710404399999,50.7747002,114.889467607000000,25.805244360500001
1078,838,1273,江西环境工程职业学院,4136012934.000000000000000,江西省,赣州市,专科, ,江西环境工程职业学院(东江源校区),ada07f48ac1607b2c51b759c,章贡区,114.909883215999997,25.887143356300001,35.7028999,114.910160746000003,25.887504398000001
1079,819,1200,福州软件职业技术学院,4135013978.000000000000000,福建省教育厅,福州市,专科,民办,福州软件职业技术学院(长乐校区),102eecc1f6956e7135b06c45,长乐区,119.698480423999996,25.972259115800000,35.9962006,119.699387560999995,25.972539565400002
